"","external_gene_name","description","gene_biotype"
"177","6430573P05Rik","RIKEN cDNA 6430573P05 gene [Source:MGI Symbol;Acc:MGI:2686494]","lncRNA"
"178","Skint11","selection and upkeep of intraepithelial T cells 11 [Source:MGI Symbol;Acc:MGI:2685415]","protein_coding"
"179","4930447N08Rik","RIKEN cDNA 4930447N08 gene [Source:MGI Symbol;Acc:MGI:1918897]","lncRNA"
"180","Gm16224","predicted gene 16224 [Source:MGI Symbol;Acc:MGI:3801902]","lncRNA"
"181","Gm36975","predicted gene, 36975 [Source:MGI Symbol;Acc:MGI:5610203]","lncRNA"
"182","Gm37529","predicted gene, 37529 [Source:MGI Symbol;Acc:MGI:5610757]","lncRNA"
"183","Rraga","Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]","protein_coding"
"184","Gm37328","predicted gene, 37328 [Source:MGI Symbol;Acc:MGI:5610556]","lncRNA"
"185","Gm13008","predicted gene 13008 [Source:MGI Symbol;Acc:MGI:3702670]","lncRNA"
"186","Gm24362","predicted gene, 24362 [Source:MGI Symbol;Acc:MGI:5454139]","lncRNA"
"187","Ush2a","usherin [Source:MGI Symbol;Acc:MGI:1341292]","protein_coding"
"188","Gm15551","predicted gene 15551 [Source:MGI Symbol;Acc:MGI:3783000]","lncRNA"
"189","Tusc1","tumor suppressor candidate 1 [Source:MGI Symbol;Acc:MGI:2684283]","protein_coding"
"190","Gm12649","predicted gene 12649 [Source:MGI Symbol;Acc:MGI:3649947]","lncRNA"
"191","Cfap57","cilia and flagella associated protein 57 [Source:MGI Symbol;Acc:MGI:2686209]","protein_coding"
"192","Gm6602","predicted gene 6602 [Source:MGI Symbol;Acc:MGI:3779614]","lncRNA"
"193","Gm29488","predicted gene 29488 [Source:MGI Symbol;Acc:MGI:5580194]","lncRNA"
"194","Tnfsf4","tumor necrosis factor (ligand) superfamily, member 4 [Source:MGI Symbol;Acc:MGI:104511]","protein_coding"
"195","Gm38304","predicted gene, 38304 [Source:MGI Symbol;Acc:MGI:5611532]","lncRNA"
"196","Gm42722","predicted gene 42722 [Source:MGI Symbol;Acc:MGI:5662859]","lncRNA"
"197","Gm12867","predicted gene 12867 [Source:MGI Symbol;Acc:MGI:3651003]","lncRNA"
"198","Gm30382","predicted gene, 30382 [Source:MGI Symbol;Acc:MGI:5589541]","lncRNA"
"199","Arl4c","ADP-ribosylation factor-like 4C [Source:MGI Symbol;Acc:MGI:2445172]","protein_coding"
"200","Hivep3","human immunodeficiency virus type I enhancer binding protein 3 [Source:MGI Symbol;Acc:MGI:106589]","protein_coding"
"201","1700010K24Rik","RIKEN cDNA 1700010K24 gene [Source:MGI Symbol;Acc:MGI:1922690]","lncRNA"
"202","Gm5149","predicted gene 5149 [Source:MGI Symbol;Acc:MGI:3648405]","lncRNA"
"203","Edn2","endothelin 2 [Source:MGI Symbol;Acc:MGI:95284]","protein_coding"
"204","Cd28","CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]","protein_coding"
