"","external_gene_name","description","gene_biotype"
"12197","Golgb1","golgin B1 [Source:MGI Symbol;Acc:MGI:1099447]","protein_coding"
"12198","Muc4","mucin 4 [Source:MGI Symbol;Acc:MGI:2153525]","protein_coding"
"12199","Gm17106","predicted gene 17106 [Source:MGI Symbol;Acc:MGI:4937933]","lncRNA"
"12200","Pou5f2","POU domain class 5, transcription factor 2 [Source:MGI Symbol;Acc:MGI:1922757]","protein_coding"
"12201","Ighj1","immunoglobulin heavy joining 1 [Source:MGI Symbol;Acc:MGI:4439802]","IG_J_gene"
"12202","Gm34680","predicted gene, 34680 [Source:MGI Symbol;Acc:MGI:5593839]","lncRNA"
"12203","Tubal3","tubulin, alpha-like 3 [Source:MGI Symbol;Acc:MGI:3588215]","protein_coding"
"12204","Gm48703","predicted gene, 48703 [Source:MGI Symbol;Acc:MGI:6098342]","lncRNA"
"12205","Adam6b","a disintegrin and metallopeptidase domain 6B [Source:MGI Symbol;Acc:MGI:2444636]","protein_coding"
"12206","Gm48708","predicted gene, 48708 [Source:MGI Symbol;Acc:MGI:6098351]","lncRNA"
"12207","Ppp1r3g","protein phosphatase 1, regulatory subunit 3G [Source:MGI Symbol;Acc:MGI:1923737]","protein_coding"
"12208","Gm48765","predicted gene, 48765 [Source:MGI Symbol;Acc:MGI:6098451]","lncRNA"
"12209","Mir155hg","Mir155 host gene (non-protein coding) [Source:MGI Symbol;Acc:MGI:5477161]","lncRNA"
"12210","Gm49226","predicted gene, 49226 [Source:MGI Symbol;Acc:MGI:6118685]","lncRNA"
"12211","Cox17","cytochrome c oxidase assembly protein 17, copper chaperone [Source:MGI Symbol;Acc:MGI:1333806]","protein_coding"
"12212","Bcl6","B cell leukemia/lymphoma 6 [Source:MGI Symbol;Acc:MGI:107187]","protein_coding"
"12213","Gm50399","predicted gene, 50399 [Source:MGI Symbol;Acc:MGI:6303309]","lncRNA"
"12214","Gp1bb","glycoprotein Ib, beta polypeptide [Source:MGI Symbol;Acc:MGI:107852]","protein_coding"
"12215","Gm15976","predicted gene 15976 [Source:MGI Symbol;Acc:MGI:3801898]","lncRNA"
"12216","Gm16310","predicted gene 16310 [Source:MGI Symbol;Acc:MGI:3826522]","lncRNA"
"12217","Gm41496","predicted gene, 41496 [Source:MGI Symbol;Acc:MGI:5624381]","lncRNA"
"12218","Gm48837","predicted gene, 48837 [Source:MGI Symbol;Acc:MGI:6098566]","lncRNA"
"12219","2810403G07Rik","RIKEN cDNA 2810403G07 gene [Source:MGI Symbol;Acc:MGI:1917210]","lncRNA"
"12220","Gm17103","predicted gene 17103 [Source:MGI Symbol;Acc:MGI:4937930]","lncRNA"
"12221","Gm31834","predicted gene, 31834 [Source:MGI Symbol;Acc:MGI:5590993]","lncRNA"
"12222","Ripk4","receptor-interacting serine-threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1919638]","protein_coding"
"12223","C2cd2","C2 calcium-dependent domain containing 2 [Source:MGI Symbol;Acc:MGI:1891883]","protein_coding"
"12224","2010110K18Rik","RIKEN cDNA 2010110K18 gene [Source:MGI Symbol;Acc:MGI:1922951]","lncRNA"
"12225","A430090L17Rik","RIKEN cDNA A430090L17 gene [Source:MGI Symbol;Acc:MGI:2442754]","lncRNA"
"12226","Gm49584","predicted gene, 49584 [Source:MGI Symbol;Acc:MGI:6214984]","lncRNA"
"12227","Gm16618","predicted gene, 16618 [Source:MGI Symbol;Acc:MGI:4439542]","lncRNA"
"12228","Itga2","integrin alpha 2 [Source:MGI Symbol;Acc:MGI:96600]","protein_coding"
"12229","Gm10734","predicted gene 10734 [Source:MGI Symbol;Acc:MGI:3642559]","lncRNA"
"12230","Gm47802","predicted gene, 47802 [Source:MGI Symbol;Acc:MGI:6096981]","lncRNA"
"12231","Gm20379","predicted gene, 20379 [Source:MGI Symbol;Acc:MGI:5012564]","protein_coding"
"12232","Gm49961","predicted gene, 49961 [Source:MGI Symbol;Acc:MGI:6270685]","lncRNA"
"12233","Gm17509","predicted gene, 17509 [Source:MGI Symbol;Acc:MGI:4937143]","lncRNA"
"12234","B430218F22Rik","RIKEN cDNA B430218F22 gene [Source:MGI Symbol;Acc:MGI:3704413]","lncRNA"
"12235","Mtx3","metaxin 3 [Source:MGI Symbol;Acc:MGI:2686040]","protein_coding"
"12236","Col8a1","collagen, type VIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88463]","protein_coding"
"12237","A630019I02Rik","RIKEN cDNA A630019I02 gene [Source:MGI Symbol;Acc:MGI:5439422]","lncRNA"
"12238","Gm47210","predicted gene, 47210 [Source:MGI Symbol;Acc:MGI:6096014]","lncRNA"
"12239","Edaradd","EDAR associated via death domain [Source:MGI Symbol;Acc:MGI:1931001]","protein_coding"
"12240","Ighv1-25","immunoglobulin heavy variable 1-25 [Source:MGI Symbol;Acc:MGI:3648295]","IG_V_pseudogene"
"12241","Chst9","carbohydrate sulfotransferase 9 [Source:MGI Symbol;Acc:MGI:1918617]","protein_coding"
"12242","2310043M15Rik","RIKEN cDNA 2310043M15 gene [Source:MGI Symbol;Acc:MGI:1919180]","lncRNA"
"12243","Dnd1","DND microRNA-mediated repression inhibitor 1 [Source:MGI Symbol;Acc:MGI:2447763]","protein_coding"
"12244","Gm48682","predicted gene, 48682 [Source:MGI Symbol;Acc:MGI:6098306]","lncRNA"
"12245","Sv2c","synaptic vesicle glycoprotein 2c [Source:MGI Symbol;Acc:MGI:1922459]","protein_coding"
"12246","Map3k2","mitogen-activated protein kinase kinase kinase 2 [Source:MGI Symbol;Acc:MGI:1346873]","protein_coding"
"12247","Slc28a3","solute carrier family 28 (sodium-coupled nucleoside transporter), member 3 [Source:MGI Symbol;Acc:MGI:2137361]","protein_coding"
"12248","Gm48027","predicted gene, 48027 [Source:MGI Symbol;Acc:MGI:6097341]","lncRNA"
"12249","Gm49767","predicted gene, 49767 [Source:MGI Symbol;Acc:MGI:6215277]","lncRNA"
"12250","Gm45030","predicted gene 45030 [Source:MGI Symbol;Acc:MGI:5753606]","lncRNA"
"12251","Gm15743","predicted gene 15743 [Source:MGI Symbol;Acc:MGI:3783185]","lncRNA"
"12252","Gm48228","predicted gene, 48228 [Source:MGI Symbol;Acc:MGI:6097631]","lncRNA"
"12253","Gm16133","predicted gene 16133 [Source:MGI Symbol;Acc:MGI:3802155]","lncRNA"
"12254","Gm16132","predicted gene 16132 [Source:MGI Symbol;Acc:MGI:3802156]","lncRNA"
"12255","Gm49144","predicted gene, 49144 [Source:MGI Symbol;Acc:MGI:6118556]","lncRNA"
"12256","Gm15879","predicted gene 15879 [Source:MGI Symbol;Acc:MGI:3802012]","lncRNA"
"12257","Gm20682","predicted gene 20682 [Source:MGI Symbol;Acc:MGI:5313129]","lncRNA"
"12258","Gm47207","predicted gene, 47207 [Source:MGI Symbol;Acc:MGI:6096009]","lncRNA"
"12259","6330408M09Rik","RIKEN cDNA 6330408M09 gene [Source:MGI Symbol;Acc:MGI:1917999]","lncRNA"
"12260","Gm48383","predicted gene, 48383 [Source:MGI Symbol;Acc:MGI:6097863]","lncRNA"
"12261","Nkapl","NFKB activating protein-like [Source:MGI Symbol;Acc:MGI:1913957]","protein_coding"
"12262","Dnah11","dynein, axonemal, heavy chain 11 [Source:MGI Symbol;Acc:MGI:1100864]","protein_coding"
"12263","AK157302","cDNA sequence AK157302 [Source:MGI Symbol;Acc:MGI:3574096]","protein_coding"
"12264","1700056N10Rik","RIKEN cDNA 1700056N10 gene [Source:MGI Symbol;Acc:MGI:1920642]","lncRNA"
"12265","Trgj1","T cell receptor gamma joining 1 [Source:MGI Symbol;Acc:MGI:4440480]","TR_J_gene"
"12266","Trgj2","T cell receptor gamma joining 2 [Source:MGI Symbol;Acc:MGI:4439598]","TR_J_gene"
"12267","Trgv2","T cell receptor gamma variable 2 [Source:MGI Symbol;Acc:MGI:98632]","TR_V_gene"
"12268","Trgj4","T cell receptor gamma joining 4 [Source:MGI Symbol;Acc:MGI:4439597]","TR_J_gene"
"12269","Gm49602","predicted gene, 49602 [Source:MGI Symbol;Acc:MGI:6215013]","lncRNA"
"12270","Gm49723","predicted gene, 49723 [Source:MGI Symbol;Acc:MGI:6215199]","lncRNA"
"12271","Gm21691","predicted gene, 21691 [Source:MGI Symbol;Acc:MGI:5435046]","lncRNA"
"12272","1700119H24Rik","RIKEN cDNA 1700119H24 gene [Source:MGI Symbol;Acc:MGI:1923899]","lncRNA"
"12273","E130310I04Rik","RIKEN cDNA E130310I04 gene [Source:MGI Symbol;Acc:MGI:3046461]","lncRNA"
"12274","Gm48571","predicted gene, 48571 [Source:MGI Symbol;Acc:MGI:6098134]","lncRNA"
"12275","Hnrnpa0","heterogeneous nuclear ribonucleoprotein A0 [Source:MGI Symbol;Acc:MGI:1924384]","protein_coding"
"12276","Gm48357","predicted gene, 48357 [Source:MGI Symbol;Acc:MGI:6097824]","lncRNA"
"12277","Gm48441","predicted gene, 48441 [Source:MGI Symbol;Acc:MGI:6097949]","lncRNA"
"12278","Gm17108","predicted gene 17108 [Source:MGI Symbol;Acc:MGI:4937935]","lncRNA"
"12279","Gm15657","predicted gene 15657 [Source:MGI Symbol;Acc:MGI:3783100]","lncRNA"
"12280","Foxd1","forkhead box D1 [Source:MGI Symbol;Acc:MGI:1347463]","protein_coding"
"12281","Gm28557","predicted gene 28557 [Source:MGI Symbol;Acc:MGI:5579263]","protein_coding"
"12282","Gm9961","predicted gene 9961 [Source:MGI Symbol;Acc:MGI:3642444]","lncRNA"
"12283","Gm26562","predicted gene, 26562 [Source:MGI Symbol;Acc:MGI:5477056]","lncRNA"
"12284","Gm49064","predicted gene, 49064 [Source:MGI Symbol;Acc:MGI:6118443]","lncRNA"
"12285","Gm48265","predicted gene, 48265 [Source:MGI Symbol;Acc:MGI:6097686]","lncRNA"
"12286","Gm48900","predicted gene, 48900 [Source:MGI Symbol;Acc:MGI:6098667]","lncRNA"
"12287","Gm28875","predicted gene 28875 [Source:MGI Symbol;Acc:MGI:5579581]","lncRNA"
"12288","Zfp874b","zinc finger protein 874b [Source:MGI Symbol;Acc:MGI:3040702]","protein_coding"
"12289","Gm47648","predicted gene, 47648 [Source:MGI Symbol;Acc:MGI:6096729]","lncRNA"
"12290","Pla2g10os","phospholipase A2, group X, opposite strand [Source:MGI Symbol;Acc:MGI:1923934]","lncRNA"
"12291","Gm48899","predicted gene, 48899 [Source:MGI Symbol;Acc:MGI:6098665]","lncRNA"
"12292","4930404I05Rik","RIKEN cDNA 4930404I05 gene [Source:MGI Symbol;Acc:MGI:1914644]","lncRNA"
"12293","Gm48194","predicted gene, 48194 [Source:MGI Symbol;Acc:MGI:6097578]","lncRNA"
"12294","Gm41505","predicted gene, 41505 [Source:MGI Symbol;Acc:MGI:5624390]","lncRNA"
"12295","Gm2582","predicted gene 2582 [Source:MGI Symbol;Acc:MGI:3780750]","lncRNA"
"12296","Gm49359","predicted gene, 49359 [Source:MGI Symbol;Acc:MGI:6121568]","protein_coding"
"12297","9330154K18Rik","RIKEN cDNA 9330154K18 gene [Source:MGI Symbol;Acc:MGI:2442806]","lncRNA"
"12298","Fer1l6","fer-1 like family member 6 [Source:MGI Symbol;Acc:MGI:3645398]","protein_coding"
"12299","4930470G03Rik","RIKEN cDNA 4930470G03 gene [Source:MGI Symbol;Acc:MGI:1922171]","lncRNA"
"12300","Gm20712","predicted gene 20712 [Source:MGI Symbol;Acc:MGI:5313159]","lncRNA"
"12301","Trmt12","tRNA methyltransferase 12 [Source:MGI Symbol;Acc:MGI:1915510]","protein_coding"
"12302","Gm47806","predicted gene, 47806 [Source:MGI Symbol;Acc:MGI:6096988]","lncRNA"
"12303","B830012L14Rik","RIKEN cDNA B830012L14 gene [Source:MGI Symbol;Acc:MGI:2443332]","lncRNA"
"12304","4930544F09Rik","RIKEN cDNA 4930544F09 gene [Source:MGI Symbol;Acc:MGI:1922448]","lncRNA"
"12305","9930014A18Rik","RIKEN cDNA 9930014A18 gene [Source:MGI Symbol;Acc:MGI:2444091]","lncRNA"
"12306","D030024E09Rik","RIKEN cDNA D030024E09 gene [Source:MGI Symbol;Acc:MGI:3041198]","lncRNA"
"12307","Foxq1","forkhead box Q1 [Source:MGI Symbol;Acc:MGI:1298228]","protein_coding"
"12308","Il7r","interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]","protein_coding"
"12309","Gpr132","G protein-coupled receptor 132 [Source:MGI Symbol;Acc:MGI:1890220]","protein_coding"
"12310","Gm48250","predicted gene, 48250 [Source:MGI Symbol;Acc:MGI:6097663]","lncRNA"
"12311","Gm49548","predicted gene, 49548 [Source:MGI Symbol;Acc:MGI:6155255]","lncRNA"
"12312","Nhlrc1","NHL repeat containing 1 [Source:MGI Symbol;Acc:MGI:2145264]","protein_coding"
"12313","Gm15722","predicted gene 15722 [Source:MGI Symbol;Acc:MGI:3783166]","lncRNA"
"12314","Dicer1","dicer 1, ribonuclease type III [Source:MGI Symbol;Acc:MGI:2177178]","protein_coding"
"12315","Hhla1","HERV-H LTR-associating 1 [Source:MGI Symbol;Acc:MGI:3615329]","protein_coding"
"12316","Gm30881","predicted gene, 30881 [Source:MGI Symbol;Acc:MGI:5590040]","lncRNA"
"12317","Dok3","docking protein 3 [Source:MGI Symbol;Acc:MGI:1351490]","protein_coding"
"12318","A930001M01Rik","RIKEN cDNA A930001M01 gene [Source:MGI Symbol;Acc:MGI:1925191]","lncRNA"
"12319","Kcnq3","potassium voltage-gated channel, subfamily Q, member 3 [Source:MGI Symbol;Acc:MGI:1336181]","protein_coding"
"12320","Gm15911","predicted gene 15911 [Source:MGI Symbol;Acc:MGI:3802139]","lncRNA"
"12321","Gm48350","predicted gene, 48350 [Source:MGI Symbol;Acc:MGI:6097814]","lncRNA"
"12322","Gm10791","predicted gene 10791 [Source:MGI Symbol;Acc:MGI:3641949]","lncRNA"
"12323","Gm48420","predicted gene, 48420 [Source:MGI Symbol;Acc:MGI:6097914]","lncRNA"
"12324","1300002E11Rik","RIKEN cDNA 1300002E11 gene [Source:MGI Symbol;Acc:MGI:1919001]","lncRNA"
"12325","Naip6","NLR family, apoptosis inhibitory protein 6 [Source:MGI Symbol;Acc:MGI:1298222]","protein_coding"
"12326","Gm20621","predicted gene 20621 [Source:MGI Symbol;Acc:MGI:5313068]","lncRNA"
"12327","Gm48596","predicted gene, 48596 [Source:MGI Symbol;Acc:MGI:6098172]","lncRNA"
"12328","Tg","thyroglobulin [Source:MGI Symbol;Acc:MGI:98733]","protein_coding"
"12329","Gm15564","predicted gene 15564 [Source:MGI Symbol;Acc:MGI:3783013]","lncRNA"
"12330","Ttc39c","tetratricopeptide repeat domain 39C [Source:MGI Symbol;Acc:MGI:1919997]","protein_coding"
"12331","Gm19951","predicted gene, 19951 [Source:MGI Symbol;Acc:MGI:5012136]","lncRNA"
"12332","Zbtb11os1","zinc finger and BTB domain containing 11, opposite strand 1 [Source:MGI Symbol;Acc:MGI:1913641]","lncRNA"
"12333","Ddx46","DEAD box helicase 46 [Source:MGI Symbol;Acc:MGI:1920895]","protein_coding"
"12334","Gm32036","predicted gene, 32036 [Source:MGI Symbol;Acc:MGI:5591195]","lncRNA"
"12335","Gm47664","predicted gene, 47664 [Source:MGI Symbol;Acc:MGI:6096754]","lncRNA"
"12336","Gm48342","predicted gene, 48342 [Source:MGI Symbol;Acc:MGI:6097804]","lncRNA"
"12337","Irf4","interferon regulatory factor 4 [Source:MGI Symbol;Acc:MGI:1096873]","protein_coding"
"12338","Selenoo","selenoprotein O [Source:MGI Symbol;Acc:MGI:1919007]","protein_coding"
"12339","D930030I03Rik","RIKEN cDNA D930030I03 gene [Source:MGI Symbol;Acc:MGI:2444245]","lncRNA"
"12340","9030404E10Rik","RIKEN cDNA 9030404E10 gene [Source:MGI Symbol;Acc:MGI:1918778]","lncRNA"
"12341","Hus1b","HUS1 checkpoint clamp component B [Source:MGI Symbol;Acc:MGI:2671003]","protein_coding"
"12342","3200001D21Rik","RIKEN cDNA 3200001D21 gene [Source:MGI Symbol;Acc:MGI:1919068]","lncRNA"
"12343","4632428C04Rik","RIKEN cDNA 4632428C04 gene [Source:MGI Symbol;Acc:MGI:1921600]","lncRNA"
"12344","Lncbate6","brown adipose tissue enriched long noncoding RNA 6 [Source:MGI Symbol;Acc:MGI:5590077]","lncRNA"
"12345","Lncenc1","long non-coding RNA, embryonic stem cells expressed 1 [Source:MGI Symbol;Acc:MGI:3780541]","lncRNA"
"12346","Gm31641","predicted gene, 31641 [Source:MGI Symbol;Acc:MGI:5590800]","lncRNA"
"12347","Dubr","Dppa2 upstream binding RNA [Source:MGI Symbol;Acc:MGI:1915440]","lncRNA"
"12348","Gm48286","predicted gene, 48286 [Source:MGI Symbol;Acc:MGI:6097722]","lncRNA"
"12349","Dnah5","dynein, axonemal, heavy chain 5 [Source:MGI Symbol;Acc:MGI:107718]","protein_coding"
"12350","Gm48079","predicted gene, 48079 [Source:MGI Symbol;Acc:MGI:6097416]","lncRNA"
"12351","D430020J02Rik","RIKEN cDNA D430020J02 gene [Source:MGI Symbol;Acc:MGI:2442237]","lncRNA"
"12352","Gm15638","predicted gene 15638 [Source:MGI Symbol;Acc:MGI:3783082]","lncRNA"
"12353","Gm11342","predicted gene 11342 [Source:MGI Symbol;Acc:MGI:3652098]","lncRNA"
"12354","4933432I09Rik","RIKEN cDNA 4933432I09 gene [Source:MGI Symbol;Acc:MGI:1914029]","lncRNA"
"12355","Gm15764","predicted gene 15764 [Source:MGI Symbol;Acc:MGI:3783206]","lncRNA"
"12356","Gm29686","predicted gene, 29686 [Source:MGI Symbol;Acc:MGI:5588845]","lncRNA"
"12357","Shank3","SH3 and multiple ankyrin repeat domains 3 [Source:MGI Symbol;Acc:MGI:1930016]","protein_coding"
"12358","Gm49756","predicted gene, 49756 [Source:MGI Symbol;Acc:MGI:6215257]","lncRNA"
"12359","Gm48770","predicted gene, 48770 [Source:MGI Symbol;Acc:MGI:6098460]","lncRNA"
"12360","Gm30127","predicted gene, 30127 [Source:MGI Symbol;Acc:MGI:5589286]","lncRNA"
"12361","Gm49216","predicted gene, 49216 [Source:MGI Symbol;Acc:MGI:6118670]","lncRNA"
"12362","Gm15340","predicted gene 15340 [Source:MGI Symbol;Acc:MGI:3705158]","lncRNA"
"12363","1700007L15Rik","RIKEN cDNA 1700007L15 gene [Source:MGI Symbol;Acc:MGI:1916581]","lncRNA"
"12364","Gm49172","predicted gene, 49172 [Source:MGI Symbol;Acc:MGI:6118604]","lncRNA"
"12365","Ifi27l2b","interferon, alpha-inducible protein 27 like 2B [Source:MGI Symbol;Acc:MGI:1916390]","protein_coding"
"12366","Gm29502","predicted gene 29502 [Source:MGI Symbol;Acc:MGI:5580208]","lncRNA"
"12367","4930588K23Rik","RIKEN cDNA 4930588K23 gene [Source:MGI Symbol;Acc:MGI:3588254]","lncRNA"
"12368","Gm26854","predicted gene, 26854 [Source:MGI Symbol;Acc:MGI:5477348]","lncRNA"
"12369","Gm15729","predicted gene 15729 [Source:MGI Symbol;Acc:MGI:3783172]","lncRNA"
"12370","Gm15286","predicted gene 15286 [Source:MGI Symbol;Acc:MGI:3705204]","lncRNA"
"12371","4933433G19Rik","RIKEN cDNA 4933433G19 gene [Source:MGI Symbol;Acc:MGI:1918476]","lncRNA"
"12372","Gm32679","predicted gene, 32679 [Source:MGI Symbol;Acc:MGI:5591838]","lncRNA"
"12373","Fam186b","family with sequence similarity 186, member B [Source:MGI Symbol;Acc:MGI:3647604]","protein_coding"
"12374","Gm26834","predicted gene, 26834 [Source:MGI Symbol;Acc:MGI:5477328]","lncRNA"
"12375","Nckap5los","NCK-associated protein 5-like, opposite strand [Source:MGI Symbol;Acc:MGI:1918162]","lncRNA"
"12376","Gm49475","predicted gene, 49475 [Source:MGI Symbol;Acc:MGI:6155143]","lncRNA"
"12377","Apol10a","apolipoprotein L 10A [Source:MGI Symbol;Acc:MGI:3036238]","protein_coding"
"12378","Apol7c","apolipoprotein L 7c [Source:MGI Symbol;Acc:MGI:1920912]","protein_coding"
"12379","Apol7e","apolipoprotein L 7e [Source:MGI Symbol;Acc:MGI:3704456]","protein_coding"
"12380","Gm17638","predicted gene, 17638 [Source:MGI Symbol;Acc:MGI:4937272]","lncRNA"
"12381","Gm49694","predicted gene, 49694 [Source:MGI Symbol;Acc:MGI:6215148]","lncRNA"
"12382","Gm47662","predicted gene, 47662 [Source:MGI Symbol;Acc:MGI:6096750]","lncRNA"
"12383","Gm15558","predicted gene 15558 [Source:MGI Symbol;Acc:MGI:3783007]","lncRNA"
"12384","B630019A10Rik","RIKEN cDNA B630019A10 gene [Source:MGI Symbol;Acc:MGI:2443371]","lncRNA"
"12385","BC106179","cDNA sequence BC106179 [Source:MGI Symbol;Acc:MGI:3702726]","lncRNA"
"12386","Tigd5","tigger transposable element derived 5 [Source:MGI Symbol;Acc:MGI:2145902]","protein_coding"
"12387","Ccdc166","coiled-coil domain containing 166 [Source:MGI Symbol;Acc:MGI:1925902]","protein_coding"
"12388","Gm49595","predicted gene, 49595 [Source:MGI Symbol;Acc:MGI:6215001]","lncRNA"
"12389","Gm48952","predicted gene, 48952 [Source:MGI Symbol;Acc:MGI:6118279]","lncRNA"
"12390","Eppk1","epiplakin 1 [Source:MGI Symbol;Acc:MGI:2386306]","protein_coding"
"12391","Smpd5","sphingomyelin phosphodiesterase 5 [Source:MGI Symbol;Acc:MGI:3709877]","protein_coding"
"12392","5033403F01Rik","RIKEN cDNA 5033403F01 gene [Source:MGI Symbol;Acc:MGI:1923208]","lncRNA"
"12393","Gm29394","predicted gene 29394 [Source:MGI Symbol;Acc:MGI:5580100]","protein_coding"
"12394","Gm26512","predicted gene, 26512 [Source:MGI Symbol;Acc:MGI:5477006]","lncRNA"
"12395","Gm16892","predicted gene, 16892 [Source:MGI Symbol;Acc:MGI:4439816]","lncRNA"
"12396","Gm10785","predicted gene 10785 [Source:MGI Symbol;Acc:MGI:3642149]","lncRNA"
"12397","Gm19522","predicted gene, 19522 [Source:MGI Symbol;Acc:MGI:5011707]","lncRNA"
"12398","Gm49625","predicted gene, 49625 [Source:MGI Symbol;Acc:MGI:6215049]","lncRNA"
"12399","Gm49460","predicted gene, 49460 [Source:MGI Symbol;Acc:MGI:6155117]","lncRNA"
"12400","Peg13","paternally expressed 13 [Source:MGI Symbol;Acc:MGI:2663476]","lncRNA"
"12401","Gm26583","predicted gene, 26583 [Source:MGI Symbol;Acc:MGI:5477077]","lncRNA"
"12402","4930558J22Rik","RIKEN cDNA 4930558J22 gene [Source:MGI Symbol;Acc:MGI:3590517]","lncRNA"
"12403","1600002D24Rik","RIKEN cDNA 1600002D24 gene [Source:MGI Symbol;Acc:MGI:1917026]","lncRNA"
"12404","Gm4117","predicted gene 4117 [Source:MGI Symbol;Acc:MGI:3782293]","lncRNA"
"12405","Gm33696","predicted gene, 33696 [Source:MGI Symbol;Acc:MGI:5592855]","lncRNA"
"12406","Gm49785","predicted gene, 49785 [Source:MGI Symbol;Acc:MGI:6215307]","lncRNA"
"12407","Snhg10","small nucleolar RNA host gene 10 [Source:MGI Symbol;Acc:MGI:1916684]","lncRNA"
"12408","Gm17032","predicted gene 17032 [Source:MGI Symbol;Acc:MGI:4937859]","lncRNA"
"12409","Gm26839","predicted gene, 26839 [Source:MGI Symbol;Acc:MGI:5477333]","lncRNA"
"12410","Gm4814","predicted gene 4814 [Source:MGI Symbol;Acc:MGI:3647983]","lncRNA"
"12411","2610204G07Rik","RIKEN cDNA 2610204G07 gene [Source:MGI Symbol;Acc:MGI:1919718]","lncRNA"
"12412","3300002A11Rik","RIKEN cDNA 3300002A11 gene [Source:MGI Symbol;Acc:MGI:1919073]","lncRNA"
"12413","Nptxr","neuronal pentraxin receptor [Source:MGI Symbol;Acc:MGI:1920590]","protein_coding"
"12414","Gm49527","predicted gene, 49527 [Source:MGI Symbol;Acc:MGI:6155227]","protein_coding"
"12415","Wnt1","wingless-type MMTV integration site family, member 1 [Source:MGI Symbol;Acc:MGI:98953]","protein_coding"
"12416","G730013B05Rik","RIKEN cDNA G730013B05 gene [Source:MGI Symbol;Acc:MGI:3588276]","lncRNA"
"12417","5730414N17Rik","RIKEN cDNA 5730414N17 gene [Source:MGI Symbol;Acc:MGI:1917774]","lncRNA"
"12418","Gm47177","predicted gene, 47177 [Source:MGI Symbol;Acc:MGI:6095962]","lncRNA"
"12419","Gm38604","predicted gene, 38604 [Source:MGI Symbol;Acc:MGI:5621489]","lncRNA"
"12420","Gm5475","predicted gene 5475 [Source:MGI Symbol;Acc:MGI:3646320]","lncRNA"
"12421","Gm46378","predicted gene, 46378 [Source:MGI Symbol;Acc:MGI:5826015]","lncRNA"
"12422","Gm27209","predicted gene 27209 [Source:MGI Symbol;Acc:MGI:5521052]","lncRNA"
"12423","Gm49492","predicted gene, 49492 [Source:MGI Symbol;Acc:MGI:6155169]","lncRNA"
"12424","Galnt6os","polypeptide N-acetylgalactosaminyltransferase 6, opposite strand [Source:MGI Symbol;Acc:MGI:1916281]","lncRNA"
"12425","Grhl2","grainyhead like transcription factor 2 [Source:MGI Symbol;Acc:MGI:2182543]","protein_coding"
"12426","Gm26912","predicted gene, 26912 [Source:MGI Symbol;Acc:MGI:5477406]","lncRNA"
"12427","Gm28221","predicted gene 28221 [Source:MGI Symbol;Acc:MGI:5578927]","lncRNA"
"12428","Gm15941","predicted gene 15941 [Source:MGI Symbol;Acc:MGI:3802081]","lncRNA"
"12429","Krt7","keratin 7 [Source:MGI Symbol;Acc:MGI:96704]","protein_coding"
"12430","1700026N04Rik","RIKEN cDNA 1700026N04 gene [Source:MGI Symbol;Acc:MGI:1919521]","lncRNA"
"12431","Gm34939","predicted gene, 34939 [Source:MGI Symbol;Acc:MGI:5594098]","lncRNA"
"12432","Gm17058","predicted gene 17058 [Source:MGI Symbol;Acc:MGI:4937885]","lncRNA"
"12433","Gm17057","predicted gene 17057 [Source:MGI Symbol;Acc:MGI:4937884]","lncRNA"
"12434","7530414M10Rik","RIKEN cDNA 7530414M10 gene [Source:MGI Symbol;Acc:MGI:2443906]","lncRNA"
"12435","Gm49708","predicted gene, 49708 [Source:MGI Symbol;Acc:MGI:6215173]","lncRNA"
"12436","Rtl6","retrotransposon Gag like 6 [Source:MGI Symbol;Acc:MGI:2675858]","protein_coding"
"12437","Gm49484","predicted gene, 49484 [Source:MGI Symbol;Acc:MGI:6155158]","lncRNA"
"12438","Gm15323","predicted gene 15323 [Source:MGI Symbol;Acc:MGI:3705285]","lncRNA"
"12439","Gm49479","predicted gene, 49479 [Source:MGI Symbol;Acc:MGI:6155150]","lncRNA"
"12440","Npff","neuropeptide FF-amide peptide precursor [Source:MGI Symbol;Acc:MGI:1891708]","protein_coding"
"12441","Gm26513","predicted gene, 26513 [Source:MGI Symbol;Acc:MGI:5477007]","lncRNA"
"12442","7530416G11Rik","RIKEN cDNA 7530416G11 gene [Source:MGI Symbol;Acc:MGI:3036279]","protein_coding"
"12443","Gm36839","predicted gene, 36839 [Source:MGI Symbol;Acc:MGI:5595998]","lncRNA"
"12444","4930455J16Rik","RIKEN cDNA 4930455J16 gene [Source:MGI Symbol;Acc:MGI:1914835]","lncRNA"
"12445","Gm20658","predicted gene 20658 [Source:MGI Symbol;Acc:MGI:5313105]","lncRNA"
"12446","Gm2822","predicted gene 2822 [Source:MGI Symbol;Acc:MGI:3780992]","lncRNA"
"12447","4930447A16Rik","RIKEN cDNA 4930447A16 gene [Source:MGI Symbol;Acc:MGI:1922142]","lncRNA"
"12448","Gm31683","predicted gene, 31683 [Source:MGI Symbol;Acc:MGI:5590842]","lncRNA"
"12449","Gm2245","predicted gene 2245 [Source:MGI Symbol;Acc:MGI:3780415]","lncRNA"
"12450","Gm15738","predicted gene 15738 [Source:MGI Symbol;Acc:MGI:3783180]","lncRNA"
